commit	auroc	f1	accuracy	memory_mb	training_seconds	status	description
274302f	0.650677	0.262961	0.732897	70.7	10.3	keep	baseline XGBoost (max_depth=6, lr=0.1, n_est=500)
7c68fc9	0.653096	0.266681	0.743922	79.3	18.9	keep	LightGBM (n_est=1000, lr=0.05, depth=7, leaves=63, scale_pos_weight)
bf74848	0.671775	0.278363	0.692068	71.1	42.5	keep	CatBoost (iter=1000, lr=0.05, depth=6, auto_class_weights=Balanced)
741df4a	0.661713	0.273222	0.750545	71.1	104.9	discard	CatBoost deeper (depth=8, iter=2000, lr=0.03) - overfit
3763352	0.667418	0.277069	0.730342	81.8	68.9	discard	ensemble XGB+LGB+CB [0.25,0.30,0.45] - worse than CB alone
17474ec	0.671526	0.278531	0.699399	71.1	82.0	discard	CatBoost iter=2000 lr=0.03 rsm=0.8 - same perf but slower
02ef615	0.670886	0.276020	0.690653	78.8	43.6	discard	CatBoost + 5 interaction features - no improvement
22e0bf4	0.657274	0.271699	0.726068	71.1	61.2	discard	CatBoost lr=0.08 l2=5 random_strength=2 - worse
a1f5911	0.671932	0.000000	0.888401	103.0	226.9	keep	stacking CB+LGB+XGB with LR meta (AUROC +0.0001 but F1=0)
097987d	0.671968	0.278230	0.695694	87.5	233.2	keep	optimized weighted ensemble CB+LGB+XGB (inner CV weights)
8fc98bb	0.629621	0.245742	0.791807	71.1	145.2	discard	CatBoost Lossguide depth=8 leaves=64 - much worse
5e23a84	0.668854	0.276845	0.704223	71.1	70.0	discard	CatBoost feature selection top 30 + Bayesian bootstrap - worse
4c0a57c	0.677621	0.125905	0.881503	99.8	1268.9	keep	5-model ensemble CB+LGB+XGB+GBM+ET with optimized weights
85e87d3	0.679293	0.040825	0.888312	75.7	416.7	keep	sklearn GBM solo (n_est=500, depth=5, lr=0.05) - new best!
734c03d	0.680859	0.035979	0.888529	75.7	833.4	keep	GBM n_est=1000 lr=0.02 - new best!
68b615c	0.681373	0.036343	0.888578	75.7	1662.3	keep	GBM n_est=2000 lr=0.01 - marginal improvement but very slow
e2c5b17	0.679581	0.034124	0.888833	75.7	533.8	discard	GBM depth=4 lr=0.02 n_est=1000 more regularized - worse
ff9abef	0.678604	0.110320	0.885200	77.1	1699.9	discard	GBM+CB blend 0.65/0.35 - worse than GBM alone
ce20168	0.681144	0.038021	0.888686	75.6	2560.3	discard	GBM n_est=3000 lr=0.007 - diminishing returns and very slow
5c4cfdd	0.675322	0.273316	0.646699	86.7	42.8	discard	HistGradientBoosting max_iter=2000 lr=0.01 - worse
7452c79	0.679878	0.029813	0.888804	75.7	1692.6	discard	GBM exponential loss - worse
96c9466	0.679848	0.278641	0.661724	70.7	59.5	discard	XGBoost deeply tuned (5000 iters, lr=0.005, depth=4, lossguide) - worse
ddea525	0.000000	0.000000	0.000000	0.0	0.0	crash	GBM+SMOTE - killed (too slow with 2000 iters on oversampled data)
eff2e89	0.676696	0.038532	0.888784	116.4	82.1	discard	CatBoost + SMOTE 0.3 - worse
66060b6	0.675612	0.278388	0.698396	112.5	69.7	discard	LGBM is_unbalance 3000 iters lr=0.01 - worse
847eaf6	0.636258	0.017981	0.888430	130.7	121.5	discard	MLP (256-128-64) - much worse
d6bddd0	0.678029	0.277486	0.673476	75.7	2204.0	discard	GBM + balanced sample_weight - worse
9a26e4e	0.668706	0.257727	0.546391	81.9	104.6	discard	rank-averaged ensemble CB+XGB+LGB - worse
052ca47	0.680851	0.044833	0.888686	75.7	2571.7	discard	GBM depth=6 (was 5) - marginal regression
29e716f	0.663351	0.274986	0.699526	91.0	111.3	discard	CatBoost + target encoding - worse
c7eb28c	0.679584	0.277566	0.665173	70.7	125.1	discard	XGBoost 5000 iters lr=0.003 depth=5 - worse
33737a1	0.663922	0.008732	0.888489	75.7	562.5	discard	AdaBoost 500 trees depth=3 - much worse
610025d	0.670415	0.009431	0.888637	73.7	139.8	discard	CalibratedCatBoost isotonic - worse
6317ef1	0.681232	0.038726	0.888823	75.7	1680.2	discard	GBM max_features=0.6 - marginal regression
4883f48	0.678013	0.034731	0.888637	76.0	612.5	discard	Bagged GBM (5 bags x 500 trees) - worse
dff7f0f	0.681572	0.036205	0.888647	75.5	4449.5	discard	diverse GBM ensemble (3 configs) - marginal +0.0002 but 2.7x slower
130074a	0.000000	0.000000	0.000000	0.0	0.0	crash	seed-avg GBM 5 seeds - killed (estimated 2.3h exceeds timeout)
fbf76ce	0.681396	0.036693	0.888617	75.5	2469.3	discard	seed-avg GBM 3 seeds x 1000 trees - negligible +0.00002 and 1.5x slower
320bc9a	0.680416	0.032526	0.888499	78.7	2003.2	discard	GBM early stopping (cap=5000 lr=0.005 n_iter_no_change=100) - validation_fraction hurts
6d41790	0.000000	0.000000	0.000000	0.0	0.0	crash	GBM + heavy feature eng (interactions+target enc+freq enc) - killed fold 5, worse anyway (~0.674)
6465cc4	0.681800	0.036000	0.888600	76.0	1700.0	keep	GBM + ICD-9 groups + is_dead + diabetes flags as EXTRA features - new best 0.6818
aed6e1e	0.681100	0.036000	0.888600	76.0	2600.0	discard	GBM 3000 trees lr=0.007 + ICD-9 groups + is_dead - diminishing returns
70991bf	0.685900	0.036000	0.888600	85.0	300.0	keep	CatBoost native cats DataFrame + ICD-9 groups - BREAKTHROUGH +0.004!
9a428e4	0.000000	0.000000	0.000000	0.0	0.0	crash	CatBoost native cats 5000 iters depth=7 lr=0.02 - OOM killed
dfc040e	0.686100	0.036000	0.888600	85.0	350.0	keep	CatBoost depth=6 4000 iters lr=0.02 native cats - slight improvement
1de7cc8	0.687200	0.036000	0.888600	88.0	380.0	keep	CatBoost + interactions + medical_specialty + smarter categoricals
431796c	0.687400	0.036000	0.888600	88.0	400.0	keep	CatBoost + ALL cats including diag + interactions + medical_specialty
2919a71	0.687700	0.036000	0.888600	90.0	450.0	keep	CatBoost tuned lr=0.02 4000 iters l2=1 min_leaf=20
b318cba	0.000000	0.000000	0.000000	0.0	0.0	crash	CatBoost 5000 iters lr=0.015 - OOM killed
0a53ed9	0.687800	0.036000	0.888600	90.0	500.0	keep	CatBoost 5000 iters lr=0.015 with gc.collect() between folds
593da9d	0.687900	0.036000	0.888600	95.0	2200.0	keep	ensemble CatBoost(3000) + GBM(2000) 0.6/0.4 blend - BEST 0.6879
3b5eb40	0.658000	0.036000	0.888600	85.0	350.0	discard	CatBoost Lossguide grow policy depth=8 max_leaves=64 - massive overfitting
b4109da	0.641000	0.036000	0.888600	85.0	300.0	discard	LightGBM with native categorical handling 3000 iters - terrible
a326ea2	0.687700	0.036000	0.888600	90.0	500.0	discard	CatBoost + richer features (ratios, age interactions, discharge groups) - no gain
807a0ac	0.687700	0.036000	0.888600	90.0	500.0	discard	CatBoost Ordered boosting + patient encounter count + age numeric - no gain
e52108c	0.000000	0.000000	0.000000	0.0	0.0	crash	exp67: stacking CB+GBM->LR meta-learner - killed (inner CV too slow >1.5h)
888a0d3	0.686600	0.062400	0.889400	90.0	2900.0	discard	exp67b: CatBoost seed avg 3 seeds (42/123/777) - killed after fold 1 (too slow 2.5h est)
556e2b0	0.680900	0.069500	0.889600	90.0	3000.0	discard	exp68: CatBoost Ordered boosting - worse and much slower (fold 1 only: 0.6809 vs 0.6856)
3746a5d	0.000000	0.000000	0.000000	0.0	0.0	crash	exp69: CatBoost lr=0.01 6000 iters l2=3 bagging_temp=0.5 - killed after fold 3 (OOM). ~same as baseline
30fc0ad	0.688461	0.048128	0.889344	162.7	2353.0	keep	exp70: CatBoost+XGBoost 0.7/0.3 blend - NEW BEST 0.6885! +0.0008 over prev best
87b5d3f	0.685400	0.000000	0.000000	0.0	0.0	discard	exp71: 3-model CB+XGB+GBM 0.55/0.25/0.20 - worse (GBM adds noise). Killed after fold 2
5dc47cb	0.688416	0.048128	0.889344	162.7	2424.2	discard	exp72: CB+XGB 0.65/0.35 blend - slightly worse than 0.7/0.3. Optimal weight ~0.75
70b6759	0.689026	0.051498	0.889315	162.7	2482.0	keep	exp73: CB+XGB(3000/d6) 0.75/0.25 - NEW BEST 0.6890! +0.0005 over exp70
8a6e21f	0.689187	0.049996	0.889216	162.7	2462.8	keep	exp74: CB(l2=3,bag_temp=0.3)+XGB(3000/d6) 0.75/0.25 - NEW BEST 0.6892!
9461087	0.689402	0.051517	0.889413	162.7	2396.4	keep	exp75: CB(l2=5,bag_temp=0.5,rand_str=0.5)+XGB 0.75/0.25 - NEW BEST 0.6894!
77193a6	0.689288	0.050199	0.889315	162.7	2226.6	discard	exp76: CB(l2=7,bag_temp=0.7,rand_str=1.0)+XGB - too much reg, slightly worse
fa7ba7f	0.687984	0.000000	0.000000	162.7	722.6	discard	exp77: CB one_hot_max_size=10 - one-hot hurts, target encoding better for all cats
0fc8a95	0.689402	0.051517	0.889413	162.7	2335.8	discard	exp78: CB min_leaf=30 model_size_reg=0.5 - identical to exp75, no effect
e71b1e6	0.689091	0.048748	0.889325	162.7	2253.6	discard	exp79: best CB + tuned XGB(4000/d5/lr=0.008) - XGB better alone but blend slightly worse
ab0f20a	0.000000	0.000000	0.000000	0.0	0.0	crash	exp80: 2-seed CB avg + XGB blend - OOM after fold 3. CB avg helped (+0.0005) but too heavy
7bc10b6	0.689179	0.047298	0.889226	162.7	1955.2	discard	exp81: CB depth=7 heavy reg + XGB blend - deeper tree worse even with more reg
07e4b12	0.689565	0.062106	0.889089	162.8	2317.1	keep	exp82: CB langevin=True diff_temp=10000 + XGB 0.75/0.25 - NEW BEST 0.6896!
1bf0a91	0.689542	0.061826	0.889099	162.8	2348.5	discard	exp83: CB langevin diff_temp=5000 + XGB - tied with exp82, diff_temp=10000 marginally better
d8b78cf	0.689279	0.067448	0.889462	162.8	2247.7	discard	exp84: CB posterior_sampling + XGB - worse than exp82 langevin with tuned diff_temp
c0c0f71	0.689181	0.062870	0.889315	165.6	2227.2	discard	exp85b: age_numeric feature - hurts (CatBoost already handles age brackets)
f5d8bb3	0.689200	0.000000	0.000000	162.8	0.0	discard	exp86: CB langevin+score_function=Cosine - no effect vs exp82, killed after fold 2
0c62b2e	0.689565	0.062106	0.889089	162.8	2385.6	discard	exp87: CB leaf_estimation_iterations=10 - identical to exp82, no effect
a04d1c7	0.689448	0.062599	0.889157	162.7	2369.3	discard	exp88: diverse XGB seed=123 hist max_bin=512 - marginally worse than exp82
e04fa26	0.689742	0.059020	0.889187	163.1	3873.1	keep	exp89: 2xCB+XGB blend (0.50/0.30/0.20) - NEW BEST 0.6897! CB diversity helps
c2fdfdf	0.689735	0.059993	0.889236	163.1	3855.3	discard	exp90: 2xCB+XGB 0.55/0.25/0.20 - identical to exp89, weight change no effect
28cc5f2	0.688000	0.000000	0.000000	163.1	0.0	discard	exp91: CB2 SqrtBalanced class weights - hurts CB2 AUROC. Killed after fold 2
a50e53a	0.689722	0.063561	0.889197	163.1	4023.0	discard	exp92: CB2 depth=5 langevin - tied with exp89, no improvement from shallower tree
6c39d99	0.688600	0.000000	0.000000	163.1	0.0	discard	exp93: ICD-9 binary flags (HF/MI/pneum/etc) - redundant with CB native cats, hurts
